city_cn,city,city_id,province_cn,province,tier,lat,lng,population,GDP,GDP_growth_2019,GDP_2020Q1,GDP_pc,GDP_growth_rate
博尔塔拉蒙古自治州,Boertala,652700,新疆维吾尔自治区,Xinjiang,Tier 5,44.9121964134647,82.07291475827435,47.5483,354.29,7.1,71.89,7.451160188692341,0.8116514719580005
巴音郭楞蒙古自治州,Bayingolin,652800,新疆维吾尔自治区,Xinjiang,Tier 5,41.770287330450394,86.15171386533258,128.57,1149.34,4.8,279.04,8.939410437893754,0.9711312579393392
阿克苏地区,Akesu,652900,新疆维吾尔自治区,Xinjiang,Tier 5,41.175029860077494,80.26694348473501,256.17,1222.43,8.1,250.22,4.771948315571691,0.8187626285349672
克孜勒苏柯尔克孜自治州,Kezilesukeerkezi,653000,新疆维吾尔自治区,Xinjiang,Tier 5,39.72047120487073,76.17430867621205,62.023,159.05,5.2,33.79,2.564371281621334,0.8497956617415906
喀什地区,Kashgar,653100,新疆维吾尔自治区,Xinjiang,Tier 5,39.47609674864479,75.99639055639747,462.4,1048.3,5.6,218.08,2.2670847750865053,0.8321282075741678
和田地区,Hetian,653200,新疆维吾尔自治区,Xinjiang,Tier 5,37.12044646304192,79.9285070635119,253.05,377.65,,81.05,1.4923928077455046,0.8584668343704488
伊犁哈萨克自治州,Yili,654000,新疆维吾尔自治区,Xinjiang,Tier 5,43.92272313749215,81.3305377475322,455.68,2226.45,6.0,242.08,4.88599455758427,0.43491657122324784
塔城地区,Tacheng,654200,新疆维吾尔自治区,Xinjiang,Tier 5,46.750948254373434,82.98723551840641,121.94,696.58,5.2,132.83,5.712481548302445,0.7627551752849637
阿勒泰地区,Aletai,654300,新疆维吾尔自治区,Xinjiang,Tier 5,47.850727870101956,88.14792620373525,65.7265,339.16,6.2,78.66,5.16017131598366,0.9277037386484254
石河子市,Shihezi,659001,新疆维吾尔自治区,Xinjiang,Tier 5,44.31197647806301,86.08688567193295,71.7,528.09,4.3,,7.365271966527197,
阿拉尔市,Alar,659002,新疆维吾尔自治区,Xinjiang,Tier 5,40.55326389470603,81.28735422539545,40.9,309.5,,,7.567237163814181,
图木舒克市,Tumxuk,659003,新疆维吾尔自治区,Xinjiang,Tier 5,39.87120907742499,79.07561628689639,27.01,184.02,,,6.8130322102924845,
五家渠市,Wujiaqu,659004,新疆维吾尔自治区,Xinjiang,Tier 5,44.17244451890096,87.54993663229611,37.12,301.8,4.9,,8.130387931034484,
北屯市,Beitun,659005,新疆维吾尔自治区,Xinjiang,Tier 5,47.33886454910664,87.84346630198361,10.62,75.531,,,7.112146892655368,
铁门关市,Tiemenguan,659006,新疆维吾尔自治区,Xinjiang,Tier 5,41.86364869769258,85.6868578317237,23.16,182.16,,,7.865284974093264,
双河市,Shuanghe,659007,新疆维吾尔自治区,Xinjiang,Tier 5,44.85295884149881,82.37838192999241,13.3173,78.13,,,5.8668048328114555,
可克达拉市,Kokdala,659008,新疆维吾尔自治区,Xinjiang,Tier 5,43.93731690864564,81.02734930740128,25.65,210.53,,,8.207797270955167,
昆玉市,Kunyu,659009,新疆维吾尔自治区,Xinjiang,Tier 5,37.51721976341508,78.99517508946022,6.4272,23.3631,,,3.6350354742345035,
